,country,action,relationship,gender,fitness,law,status,age,lives,species
0,AFG,0.7035495762212949,0.25010303516555205,0.05630186997765087,0.7397293146835247,0.20729820297218957,0.4379237481554382,0.2390225955973778,0.40020630553392694,0.6723954266967018
1,AGO,0.33249479125995396,0.0,0.20448787427287973,0.4104384691008241,0.4897398681361796,0.9588666864787878,0.5178088467606662,0.383450733306063,0.7143360869617259
2,ALB,0.44079118036417875,0.41279436036456996,0.4738488130847949,0.7295102316010713,0.41405617127323024,0.25083809238783394,0.5984615940638397,0.6079350144260401,0.7359759986417969
3,AND,0.5720682806742196,0.9854565652560314,0.6640035590083319,0.3441670986261481,0.7175293251364978,0.15774102972021173,0.603321111597089,0.6173381778667724,0.6275094893606329
4,ARE,0.3502070867403743,0.6334854544454842,0.4898884559311855,0.40858684800022377,0.47183109274892043,0.3867445430515433,0.4615571792904419,0.6409702886297209,0.6749891288330311
5,ARG,0.3227200148914075,0.6898710582145632,0.5714454673204934,0.6036082562561537,0.41002796522900087,0.5599675854668615,0.678400961432365,0.5455185165866803,0.24390229592358664
6,ARM,0.38239921611476246,0.4813483306630858,0.4477605844237085,0.3117060623569685,0.4729478232808347,0.0922762313919704,0.5502783038304807,0.46624845537201554,0.7794958649081094
7,AUS,0.690977485850528,0.6356218217242506,0.466979870953352,0.7455412887104896,0.34753805782182134,0.46977328711130867,0.6734296111925667,0.6619635729838292,0.7100049402316541
8,AUT,0.6595733406878693,0.5578100926819216,0.3940460392074988,0.4915324315056079,0.5339759205588637,0.3295998474597241,0.6555805996384702,0.6060819451118018,0.8705087346112378
9,AZE,0.32437739677220334,0.892196347609765,0.42463140728336407,0.6784328629964845,0.004836046377188924,0.3844162911630666,0.6210522596150824,0.34753453610134005,0.03933895291278738
10,BEL,0.5378170394246264,0.8008587180527642,0.563909222595324,0.5065093722325901,0.5561175917222729,0.44173618623153843,0.646555004709316,0.5915259609815716,0.8887390688481528
11,BGD,0.15116485427942467,0.27226177495342707,0.34765958203646147,0.6569674064649146,0.4429020744136546,0.5308469483090272,0.3409491390674681,0.5437688589641113,0.6593679143058325
12,BGR,0.37683084889481133,0.5543119484827277,0.4069728681216601,0.7511209333744927,0.41018176905447823,0.5760809126237291,0.789340955267619,0.5844813598199399,0.7753778856182559
13,BHS,0.1421784291092736,0.2530089503281664,0.6268791809047886,0.4602174070350919,0.10528748471583022,0.570736920081515,0.859977615070528,0.7008032291932624,0.7356920581292636
14,BIH,0.3821618106562218,0.6630911268992189,0.4094712986010473,0.5467912357327659,0.49025993576665083,0.31374265510108623,0.8650893120850917,0.6601912821704884,0.7185355987014865
15,BLR,0.634571308281703,0.320317568921628,0.1773397187698659,0.6233305496751023,0.42607439870409236,0.4078047212909375,0.6376831238467779,0.401519187901632,0.7789861549093113
16,BOL,0.2715883941206308,0.6646381673079316,0.5842667899040075,0.8593590547109922,0.2841983243457879,0.6521369047925972,0.6871565987414867,0.5761248797094941,0.0
17,BRA,0.28868644192518667,0.1721887253011083,0.5900168993414299,0.2654083760962516,0.514263265629734,0.40428873037052504,0.5575484273050448,0.43464129134505497,0.10880500930608605
18,BRN,0.37611900082238303,0.4931930782902724,0.05741363552068434,0.8043421780902482,1.0,0.3491691948797104,0.20985811119642248,0.1078263025789779,0.48067016551012953
